,train,test,m1,m2
0,0.8147565753421193,0.719926841169538,1.0,0.0
1,0.8032864022169567,0.7323163952600638,2.0,0.0
2,0.7610100724605386,0.7241413467419878,2.0,1.0
3,0.9261858225929656,0.7134708965666325,3.0,0.0
4,0.9160628706884095,0.7350789005091567,3.0,1.0
5,0.904503459244736,0.6578279692570967,3.0,2.0
6,0.8791021179492832,0.7187240410658635,4.0,0.0
7,0.8590351670576064,0.7292155268101697,4.0,1.0
8,0.8418127625634041,0.709790491006927,4.0,2.0
9,0.9485097596653356,0.7086773754803444,4.0,3.0
10,0.9257471483072329,0.7193095380460015,5.0,0.0
11,0.9168325160603703,0.7329116251463343,5.0,1.0
12,0.9017549451575414,0.7216940889289095,5.0,2.0
13,0.965175612224581,0.7115701532622619,5.0,3.0
14,0.9439383841644625,0.7213564974913197,5.0,4.0
15,0.8387426479443553,0.7231703370612103,6.0,0.0
16,0.8092802309885077,0.7335051125862249,6.0,1.0
17,0.7947844485630146,0.7132543433602132,6.0,2.0
18,0.9210299923726515,0.7137680567359643,6.0,3.0
19,0.8785898760801315,0.7097217397143516,6.0,4.0
20,0.9172390669653071,0.7170326942297717,6.0,5.0
