,train,test,m1,m2,m3,m4
0,0.8191961557788359,0.7094560799618047,1.0,0.0,0.0,0.0
1,0.8184253500466389,0.7223538322388053,2.0,0.0,0.0,0.0
2,0.8123933911074032,0.7300747597559823,2.0,0.0,0.0,1.0
3,0.8117961513861385,0.7310758531728693,2.0,0.0,1.0,0.0
4,0.7929722042581938,0.7406483578016042,2.0,0.0,1.0,1.0
5,0.8094058401031834,0.7345269762160266,2.0,1.0,0.0,0.0
6,0.7937168843364067,0.7399853817807553,2.0,1.0,0.0,1.0
7,0.7941940270801199,0.7312713835229818,2.0,1.0,1.0,0.0
8,0.7659089507404806,0.7353637888544057,2.0,1.0,1.0,1.0
9,0.8792987556447702,0.7218589928720694,3.0,0.0,0.0,0.0
10,0.8776995192433265,0.7355421164159252,3.0,0.0,0.0,1.0
11,0.8730532679068128,0.7288039332026083,3.0,0.0,0.0,2.0
12,0.8789159547595217,0.7309303872450633,3.0,0.0,1.0,0.0
13,0.8691001525080587,0.7387077590071432,3.0,0.0,1.0,1.0
14,0.8694520487583941,0.7309686377329081,3.0,0.0,1.0,2.0
15,0.8747749333609924,0.7276120395974507,3.0,0.0,2.0,0.0
16,0.8692047327162721,0.7293246359100264,3.0,0.0,2.0,1.0
17,0.8619331535690608,0.7225563043385201,3.0,0.0,2.0,2.0
18,0.8768358692762123,0.7269640497369503,3.0,1.0,0.0,0.0
19,0.8691524139686604,0.7426723123901392,3.0,1.0,0.0,1.0
20,0.8695788057352063,0.7293100007316883,3.0,1.0,0.0,2.0
21,0.8690031128542324,0.7402239947672117,3.0,1.0,1.0,0.0
22,0.8481952381601511,0.7330251003440145,3.0,1.0,1.0,1.0
23,0.8504948151267026,0.7387595375466721,3.0,1.0,1.0,2.0
24,0.8694877271797944,0.7316075708560121,3.0,1.0,2.0,0.0
25,0.851330099862364,0.7419078759795678,3.0,1.0,2.0,1.0
26,0.8482325888985631,0.7246305434547616,3.0,1.0,2.0,2.0
27,0.8735727120237927,0.7286570223639215,3.0,2.0,0.0,0.0
28,0.8698674469701299,0.738240966574296,3.0,2.0,0.0,1.0
29,0.8620838768398092,0.7304834690019276,3.0,2.0,0.0,2.0
30,0.8701492563108939,0.7287906870449866,3.0,2.0,1.0,0.0
31,0.8515801814646573,0.7396548292210431,3.0,2.0,1.0,1.0
32,0.8462410744654955,0.722186888800468,3.0,2.0,1.0,2.0
33,0.86195306915024,0.7199251543722428,3.0,2.0,2.0,0.0
34,0.8465343152208454,0.7209397991226187,3.0,2.0,2.0,1.0
35,0.8276868490733307,0.7013505913700416,3.0,2.0,2.0,2.0
36,0.8534072025044507,0.7298681006013799,4.0,0.0,0.0,0.0
37,0.8523169436041317,0.7355809267307384,4.0,0.0,0.0,1.0
38,0.8495256303688512,0.7120992258156568,4.0,0.0,0.0,2.0
39,0.9051858669153902,0.7196492373056805,4.0,0.0,0.0,3.0
40,0.8516816464005629,0.7357164414497263,4.0,0.0,1.0,0.0
41,0.840227082065868,0.7383609401165256,4.0,0.0,1.0,1.0
42,0.841171963595322,0.7343838577868848,4.0,0.0,1.0,2.0
43,0.902675038385876,0.7228848773947073,4.0,0.0,1.0,3.0
44,0.8464627706182065,0.7202744558730148,4.0,0.0,2.0,0.0
45,0.840734313431622,0.7294874217273984,4.0,0.0,2.0,1.0
46,0.8285563931134625,0.7334522834468662,4.0,0.0,2.0,2.0
47,0.897329201550716,0.7254123095279947,4.0,0.0,2.0,3.0
48,0.9055000669357337,0.7267318857763773,4.0,0.0,3.0,0.0
49,0.9029540657954961,0.736674364719558,4.0,0.0,3.0,1.0
50,0.8972698633549024,0.7250461868266974,4.0,0.0,3.0,2.0
51,0.9441606569394683,0.7142532679286505,4.0,0.0,3.0,3.0
52,0.8514300095779183,0.7284648220718427,4.0,1.0,0.0,0.0
53,0.8387132983840457,0.7373618055191219,4.0,1.0,0.0,1.0
54,0.8409553269371902,0.7245308952919912,4.0,1.0,0.0,2.0
55,0.9033848786700105,0.7243740868613507,4.0,1.0,0.0,3.0
56,0.8401325304491455,0.7349957366206188,4.0,1.0,1.0,0.0
57,0.8136100800904512,0.7353665550190268,4.0,1.0,1.0,1.0
58,0.8140230595652591,0.733741559106342,4.0,1.0,1.0,2.0
59,0.8908619536099701,0.7279304090689127,4.0,1.0,1.0,3.0
60,0.8396837261237463,0.7350118692123724,4.0,1.0,2.0,0.0
61,0.8139101052270599,0.7379853095656443,4.0,1.0,2.0,1.0
62,0.8079542544201033,0.7281643429218443,4.0,1.0,2.0,2.0
63,0.8933188472321868,0.7173981738027658,4.0,1.0,2.0,3.0
64,0.9009675952556261,0.7282082204907491,4.0,1.0,3.0,0.0
65,0.8927103491647772,0.7291423685093266,4.0,1.0,3.0,1.0
66,0.891924034349103,0.7207236474518467,4.0,1.0,3.0,2.0
67,0.9421391756251373,0.7302737453308167,4.0,1.0,3.0,3.0
68,0.8469644633510528,0.7225589012273023,4.0,2.0,0.0,0.0
69,0.8379098472793408,0.7316682519545079,4.0,2.0,0.0,1.0
