,ensemble,score
158,nb+lda+cgb,0.7262078043983144
159,nb+lda+xgb,0.7206197010400268
160,nb+knn+log,0.7090669010076144
161,nb+knn+lda,0.7136328682679421
162,nb+knn+svc,0.7071958979869581
163,nb+knn+rf,0.704259290927428
164,nb+knn+hgb,0.7025748270928707
165,nb+knn+lgb,0.7051546909238893
166,nb+knn+cgb,0.7070825103726419
167,nb+knn+xgb,0.7022458635170213
168,nb+svc+log,0.7145825698743034
169,nb+svc+lda,0.7227871571028486
170,nb+svc+knn,0.7031792246887788
171,nb+svc+rf,0.7134194805069768
172,nb+svc+hgb,0.7071410287147368
173,nb+svc+lgb,0.7129440239822401
174,nb+svc+cgb,0.704569195263511
175,nb+svc+xgb,0.7069153084271675
176,nb+rf+log,0.7168060565212486
177,nb+rf+lda,0.7165558808094273
178,nb+rf+knn,0.706647244642084
179,nb+rf+svc,0.7054845450951508
180,nb+rf+hgb,0.7075572792390201
181,nb+rf+lgb,0.70678728199835
182,nb+rf+cgb,0.7090847917794463
183,nb+rf+xgb,0.7031329851349595
184,nb+hgb+log,0.72188399688943
185,nb+hgb+lda,0.7260817961418449
186,nb+hgb+knn,0.7060487869787299
187,nb+hgb+svc,0.70353997744658
188,nb+hgb+rf,0.7005736478560916
189,nb+hgb+lgb,0.7076045481311368
190,nb+hgb+cgb,0.7037793423088723
191,nb+hgb+xgb,0.7063498886391549
192,nb+lgb+log,0.7118601980742245
193,nb+lgb+lda,0.7186828857491996
194,nb+lgb+knn,0.701521348862381
195,nb+lgb+svc,0.703003073352354
196,nb+lgb+rf,0.7046377555426838
197,nb+lgb+hgb,0.7085540188661362
198,nb+lgb+cgb,0.7008501407795242
199,nb+lgb+xgb,0.7000633481121936
200,nb+cgb+log,0.7079996362174197
201,nb+cgb+lda,0.7154802582783242
202,nb+cgb+knn,0.7036808337054291
203,nb+cgb+svc,0.7068577917142055
204,nb+cgb+rf,0.7030789261592947
205,nb+cgb+hgb,0.7052724237192678
206,nb+cgb+lgb,0.7072455500455253
207,nb+cgb+xgb,0.7066705773195593
208,nb+xgb+log,0.7148405819037229
209,nb+xgb+lda,0.7190202055874361
210,nb+xgb+knn,0.7033923769239653
211,nb+xgb+svc,0.7006785061370753
212,nb+xgb+rf,0.7028079556265918
213,nb+xgb+hgb,0.7073831211475431
214,nb+xgb+lgb,0.7059412335007765
215,nb+xgb+cgb,0.7072656357276478
216,knn+log+lda,0.7249914569220224
217,knn+log+nb,0.7116440383539367
218,knn+log+svc,0.7154548965420091
219,knn+log+rf,0.7200843324476826
220,knn+log+hgb,0.7213823945918827
221,knn+log+lgb,0.7163658353575569
222,knn+log+cgb,0.7182328041898787
223,knn+log+xgb,0.7245020729634981
224,knn+lda+log,0.720385644355975
225,knn+lda+nb,0.7144634096236497
226,knn+lda+svc,0.722758460770977
227,knn+lda+rf,0.7259594955171422
228,knn+lda+hgb,0.7302362181747919
229,knn+lda+lgb,0.7270500084514975
230,knn+lda+cgb,0.7267413579191115
231,knn+lda+xgb,0.7250325056200415
232,knn+nb+log,0.7094650839872522
233,knn+nb+lda,0.7166277958461019
234,knn+nb+svc,0.7079265312467301
235,knn+nb+rf,0.6981521464755668
236,knn+nb+hgb,0.7064830717205978
237,knn+nb+lgb,0.7004123572456358
238,knn+nb+cgb,0.705681200310793
239,knn+nb+xgb,0.6997778994417413
240,knn+svc+log,0.7259870280481391
241,knn+svc+lda,0.7247256538079144
242,knn+svc+nb,0.705032546236491
243,knn+svc+rf,0.7097157988691712
244,knn+svc+hgb,0.7154827658498897
245,knn+svc+lgb,0.715763268475447
246,knn+svc+cgb,0.7125631786236
247,knn+svc+xgb,0.7126493152798862
248,knn+rf+log,0.7153276355239324
249,knn+rf+lda,0.7203934923611268
250,knn+rf+nb,0.6956232060440812
251,knn+rf+svc,0.7095533026253114
252,knn+rf+hgb,0.7127077192882086
253,knn+rf+lgb,0.7102199400273477
254,knn+rf+cgb,0.7087988843040206
255,knn+rf+xgb,0.7050028923737773
256,knn+hgb+log,0.7124840172861538
257,knn+hgb+lda,0.7293184311571271
258,knn+hgb+nb,0.7072425172063485
259,knn+hgb+svc,0.7200704121453806
260,knn+hgb+rf,0.7163935576057717
261,knn+hgb+lgb,0.713155496451255
262,knn+hgb+cgb,0.7161559763826401
263,knn+hgb+xgb,0.7127580800742689
264,knn+lgb+log,0.7203909172610035
265,knn+lgb+lda,0.7293543197206661
266,knn+lgb+nb,0.7058050691639981
267,knn+lgb+svc,0.7081199103832883
268,knn+lgb+rf,0.709941236974201
269,knn+lgb+hgb,0.7167569684107057
270,knn+lgb+cgb,0.7134911782584878
271,knn+lgb+xgb,0.7144832383220079
272,knn+cgb+log,0.7228873333624881
273,knn+cgb+lda,0.7309798441493928
