,train,test,m1,m2,m3
0,0.8196614215642001,0.7200146415905883,1.0,0.0,0.0
1,0.8136690075653156,0.7164180918662969,2.0,0.0,0.0
2,0.8006486944037352,0.7361471161013325,2.0,0.0,1.0
3,0.8014390687693415,0.7286190877751704,2.0,1.0,0.0
4,0.7647827178758035,0.738986613801341,2.0,1.0,1.0
5,0.8950397483139096,0.7248032884862649,3.0,0.0,0.0
6,0.8910060082508339,0.7363947750449449,3.0,0.0,1.0
7,0.8865859296721067,0.7285361342448109,3.0,0.0,2.0
8,0.8914495976555212,0.726824680190175,3.0,1.0,0.0
9,0.8705087725717044,0.7420251932754501,3.0,1.0,1.0
10,0.8746705326312604,0.7287546144015057,3.0,1.0,2.0
11,0.8865210405169167,0.7253582460158478,3.0,2.0,0.0
12,0.8755266512992851,0.7287878386562473,3.0,2.0,1.0
13,0.8616433989075887,0.7044532432983367,3.0,2.0,2.0
14,0.8642007662226545,0.7247349049202819,4.0,0.0,0.0
15,0.8583572523293451,0.7313170397433937,4.0,0.0,1.0
16,0.850777709428639,0.7268474154561546,4.0,0.0,2.0
17,0.9252307429803208,0.7228412689990252,4.0,0.0,3.0
18,0.8577049437803251,0.7324205916584292,4.0,1.0,0.0
19,0.8290548776546881,0.7412178210298891,4.0,1.0,1.0
20,0.8287923610264424,0.7279008323316049,4.0,1.0,2.0
21,0.9205426710232175,0.7173474198762939,4.0,1.0,3.0
22,0.8529626976321668,0.7230495036033352,4.0,2.0,0.0
23,0.8272866440436907,0.7263946653954926,4.0,2.0,1.0
24,0.8081798633456501,0.7031207012202413,4.0,2.0,2.0
25,0.9124477838094451,0.707527705903613,4.0,2.0,3.0
26,0.9266466883197158,0.7239536604154576,4.0,3.0,0.0
27,0.9211492920597683,0.7248326327919653,4.0,3.0,1.0
28,0.9133956501737325,0.6997357494565426,4.0,3.0,2.0
29,0.9582421592747782,0.7038972292614796,4.0,3.0,3.0
30,0.8952979175999914,0.7176497801738476,5.0,0.0,0.0
31,0.8933527161062758,0.7349184446708126,5.0,0.0,1.0
32,0.8892453808769122,0.7269573297517069,5.0,0.0,2.0
33,0.9468167193750539,0.7195338939724528,5.0,0.0,3.0
34,0.9248519771427457,0.7283179664100574,5.0,0.0,4.0
35,0.8937026575278756,0.7307247201098934,5.0,1.0,0.0
36,0.8724113819987904,0.7265401760712757,5.0,1.0,1.0
37,0.8736588345072694,0.7304443893683826,5.0,1.0,2.0
38,0.9426035744857412,0.72757729175939,5.0,1.0,3.0
39,0.9196131016342365,0.7354219947315107,5.0,1.0,4.0
40,0.8862671285060068,0.7277462941354683,5.0,2.0,0.0
41,0.87369540639368,0.7340909669571215,5.0,2.0,1.0
42,0.8632466310174585,0.7077461713243286,5.0,2.0,2.0
43,0.929501795122308,0.7064612463221952,5.0,2.0,3.0
44,0.9067668035810685,0.7125408604155963,5.0,2.0,4.0
45,0.9476313889905891,0.7258782167534866,5.0,3.0,0.0
46,0.944699756554798,0.7413134436423595,5.0,3.0,1.0
47,0.931916601517468,0.709594685124593,5.0,3.0,2.0
48,0.9662747657174432,0.7180066481195891,5.0,3.0,3.0
49,0.9547064228848733,0.7092538572545113,5.0,3.0,4.0
50,0.9254981765624345,0.730129028841699,5.0,4.0,0.0
51,0.9195475621684199,0.7334793654959281,5.0,4.0,1.0
52,0.9076429666900561,0.7120539705348964,5.0,4.0,2.0
53,0.9535712473948176,0.7184593977488936,5.0,4.0,3.0
54,0.9352796989842522,0.7116833678348664,5.0,4.0,4.0
55,0.8364740938140823,0.7406986613299688,6.0,0.0,0.0
56,0.8285716334169283,0.7407810899553701,6.0,0.0,1.0
57,0.8171420558318202,0.730367483695399,6.0,0.0,2.0
58,0.9001407937222924,0.730608426606221,6.0,0.0,3.0
59,0.8722696103070343,0.7230713770629116,6.0,0.0,4.0
60,0.9024739561574804,0.724571753950149,6.0,0.0,5.0
61,0.8279128223541466,0.7389073837604462,6.0,1.0,0.0
62,0.798078784028864,0.7312143021715451,6.0,1.0,1.0
63,0.7941277374340143,0.7276231961470238,6.0,1.0,2.0
64,0.8931054187843704,0.7286382965238419,6.0,1.0,3.0
65,0.8533721497135504,0.7290022781469702,6.0,1.0,4.0
66,0.8928651568066055,0.7286308038008666,6.0,1.0,5.0
67,0.8172548026802654,0.7265696332981033,6.0,2.0,0.0
68,0.7922464375239068,0.719971968840524,6.0,2.0,1.0
69,0.7735266439792866,0.7109169708008651,6.0,2.0,2.0
70,0.8816328888404955,0.7071044776552718,6.0,2.0,3.0
71,0.8458171436243234,0.6983070696290641,6.0,2.0,4.0
72,0.8851524502011777,0.7248540176529351,6.0,2.0,5.0
73,0.901488390264896,0.724091773972833,6.0,3.0,0.0
74,0.8912951869747913,0.7210617168733154,6.0,3.0,1.0
75,0.8818704110754702,0.7147430583294735,6.0,3.0,2.0
76,0.9488843508538629,0.7165488080950895,6.0,3.0,3.0
77,0.9261152500122707,0.7165451753380081,6.0,3.0,4.0
78,0.9432207567990729,0.7272163305730568,6.0,3.0,5.0
79,0.8707499242102879,0.7329049770506714,6.0,4.0,0.0
80,0.8550131740838168,0.7314204043998543,6.0,4.0,1.0
81,0.8442104090174549,0.7067517765443956,6.0,4.0,2.0
82,0.9235990010857226,0.7163031443507671,6.0,4.0,3.0
83,0.8930871584499185,0.7130101441097293,6.0,4.0,4.0
84,0.9198747794408223,0.7086796613083707,6.0,4.0,5.0
85,0.9017861683546959,0.7244844572539307,6.0,5.0,0.0
86,0.8944309078713681,0.7364964354278335,6.0,5.0,1.0
87,0.8834074480266191,0.7226683081846544,6.0,5.0,2.0
88,0.9439979367266176,0.7226294060413325,6.0,5.0,3.0
89,0.9183083572409417,0.7058261035271608,6.0,5.0,4.0
90,0.9413609830382628,0.7218752253571914,6.0,5.0,5.0
